device,num_adversaries,f1,aggregation,injected
pi3-1gb,3,58.97887323943662,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,3,0.7471980074719801,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,3,2.9556650246305423,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,3,0.7471980074719801,trimmed_mean_2,pi4-2gb-bc
All,3,19.864940911648848,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,4,45.410628019323674,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,4,0.9950248756218907,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,4,0.24968789013732834,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,4,0.0,trimmed_mean_2,pi4-2gb-bc
All,4,13.953488372093023,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,0,85.71428571428571,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,0,85.79586009992862,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,0,85.71428571428571,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,0,85.71428571428571,coordinate_wise_median,pi4-2gb-bc
All,0,85.7346902338868,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,1,60.38394415357765,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,1,23.78854625550661,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,1,24.36882546652031,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,1,23.399558498896248,coordinate_wise_median,pi4-2gb-bc
All,1,34.66804443296306,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,2,22.983425414364646,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,2,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,2,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,2,0.0,coordinate_wise_median,pi4-2gb-bc
All,2,6.293494704992436,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,3,22.22222222222222,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,3,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,3,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,3,0.0,coordinate_wise_median,pi4-2gb-bc
All,3,6.0606060606060606,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,4,22.22222222222222,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,4,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,4,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,4,0.0,coordinate_wise_median,pi4-2gb-bc
All,4,6.0606060606060606,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,0,85.71428571428571,fed_avg,pi4-4gb
pi4-2gb-bc,0,85.71428571428571,fed_avg,pi4-4gb
pi4-2gb-wc,0,85.71428571428571,fed_avg,pi4-4gb
pi4-4gb,0,85.71428571428571,fed_avg,pi4-4gb
All,0,85.71428571428571,fed_avg,pi4-4gb
pi3-1gb,1,66.72212978369384,fed_avg,pi4-4gb
pi4-2gb-bc,1,50.46728971962617,fed_avg,pi4-4gb
pi4-2gb-wc,1,53.61390667886551,fed_avg,pi4-4gb
pi4-4gb,1,44.961240310077514,fed_avg,pi4-4gb
All,1,54.400727768933365,fed_avg,pi4-4gb
pi3-1gb,2,64.81012658227849,fed_avg,pi4-4gb
pi4-2gb-bc,2,52.53456221198157,fed_avg,pi4-4gb
pi4-2gb-wc,2,53.74771480804388,fed_avg,pi4-4gb
pi4-4gb,2,48.05318138651472,fed_avg,pi4-4gb
All,2,55.059995472039844,fed_avg,pi4-4gb
pi3-1gb,3,22.41953385127636,fed_avg,pi4-4gb
pi4-2gb-bc,3,1.4888337468982629,fed_avg,pi4-4gb
pi4-2gb-wc,3,1.9801980198019802,fed_avg,pi4-4gb
pi4-4gb,3,0.0,fed_avg,pi4-4gb
All,3,6.93815987933635,fed_avg,pi4-4gb
pi3-1gb,4,41.584158415841586,fed_avg,pi4-4gb
pi4-2gb-bc,4,0.4987531172069826,fed_avg,pi4-4gb
pi4-2gb-wc,4,4.161566707466341,fed_avg,pi4-4gb
pi4-4gb,4,0.0,fed_avg,pi4-4gb
All,4,13.35666375036454,fed_avg,pi4-4gb
pi3-1gb,0,85.71428571428571,trimmed_mean,pi4-4gb
pi4-2gb-bc,0,85.71428571428571,trimmed_mean,pi4-4gb
pi4-2gb-wc,0,85.71428571428571,trimmed_mean,pi4-4gb
pi4-4gb,0,85.71428571428571,trimmed_mean,pi4-4gb
All,0,85.71428571428571,trimmed_mean,pi4-4gb
pi3-1gb,1,66.66666666666666,trimmed_mean,pi4-4gb
pi4-2gb-bc,1,58.156028368794324,trimmed_mean,pi4-4gb
pi4-2gb-wc,1,59.64912280701754,trimmed_mean,pi4-4gb
pi4-4gb,1,54.14767547857794,trimmed_mean,pi4-4gb
All,1,59.802847754654984,trimmed_mean,pi4-4gb
pi3-1gb,2,64.9789029535865,trimmed_mean,pi4-4gb
pi4-2gb-bc,2,36.73469387755102,trimmed_mean,pi4-4gb
pi4-2gb-wc,2,38.70967741935484,trimmed_mean,pi4-4gb
pi4-4gb,2,31.756046267087278,trimmed_mean,pi4-4gb
All,2,44.2064264849075,trimmed_mean,pi4-4gb
pi3-1gb,3,58.657243816254415,trimmed_mean,pi4-4gb
pi4-2gb-bc,3,1.9801980198019802,trimmed_mean,pi4-4gb
pi4-2gb-wc,3,4.400977995110025,trimmed_mean,pi4-4gb
pi4-4gb,3,2.469135802469136,trimmed_mean,pi4-4gb
All,3,20.62780269058296,trimmed_mean,pi4-4gb
pi3-1gb,4,54.495912806539515,trimmed_mean,pi4-4gb
pi4-2gb-bc,4,0.9950248756218907,trimmed_mean,pi4-4gb
pi4-2gb-wc,4,3.9215686274509802,trimmed_mean,pi4-4gb
pi4-4gb,4,0.0,trimmed_mean,pi4-4gb
All,4,18.176654359556945,trimmed_mean,pi4-4gb
pi3-1gb,0,85.71428571428571,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,0,85.71428571428571,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,0,85.71428571428571,trimmed_mean_2,pi4-4gb
pi4-4gb,0,85.71428571428571,trimmed_mean_2,pi4-4gb
All,0,85.71428571428571,trimmed_mean_2,pi4-4gb
pi3-1gb,1,66.83291770573567,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,1,62.306368330464714,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,1,62.54295532646048,trimmed_mean_2,pi4-4gb
pi4-4gb,1,63.36464560204953,trimmed_mean_2,pi4-4gb
All,1,63.787234042553195,trimmed_mean_2,pi4-4gb
pi3-1gb,2,23.594266813671442,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,2,11.76470588235294,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,2,10.201660735468565,trimmed_mean_2,pi4-4gb
pi4-4gb,2,8.61244019138756,trimmed_mean_2,pi4-4gb
All,2,13.736903376018624,trimmed_mean_2,pi4-4gb
pi3-1gb,3,22.22222222222222,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,3,0.0,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,3,0.0,trimmed_mean_2,pi4-4gb
pi4-4gb,3,0.0,trimmed_mean_2,pi4-4gb
All,3,6.0606060606060606,trimmed_mean_2,pi4-4gb
pi3-1gb,4,47.483380816714146,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,4,0.0,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,4,0.0,trimmed_mean_2,pi4-4gb
pi4-4gb,4,0.0,trimmed_mean_2,pi4-4gb
All,4,14.480162177816391,trimmed_mean_2,pi4-4gb
pi3-1gb,0,85.65310492505354,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,0,85.71428571428571,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,0,85.79586009992862,coordinate_wise_median,pi4-4gb
pi4-4gb,0,85.71428571428571,coordinate_wise_median,pi4-4gb
All,0,85.71938593359515,coordinate_wise_median,pi4-4gb
pi3-1gb,1,63.36464560204953,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,1,27.027027027027028,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,1,25.517993456924753,coordinate_wise_median,pi4-4gb
