device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
All,4,12.229373902867174,209,9,791,2991,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,0,86.15819209039547,610,6,194,190,fed_avg,pi4-4gb
pi4-2gb-bc,0,85.71428571428572,603,4,196,197,fed_avg,pi4-4gb
pi4-2gb-wc,0,85.95866001425516,603,0,200,197,fed_avg,pi4-4gb
pi4-4gb,0,85.61253561253562,601,3,197,199,fed_avg,pi4-4gb
All,0,85.8614564831261,2417,13,787,783,fed_avg,pi4-4gb
pi3-1gb,1,68.20049301561217,415,2,198,385,fed_avg,pi4-4gb
pi4-2gb-bc,1,64.40677966101694,380,0,200,420,fed_avg,pi4-4gb
pi4-2gb-wc,1,63.26530612244898,372,4,196,428,fed_avg,pi4-4gb
pi4-4gb,1,58.45070422535211,332,4,196,468,fed_avg,pi4-4gb
All,1,63.66532172435762,1499,10,790,1701,fed_avg,pi4-4gb
pi3-1gb,2,59.473684210526315,339,1,199,461,fed_avg,pi4-4gb
pi4-2gb-bc,2,35.5601233299075,173,0,200,627,fed_avg,pi4-4gb
pi4-2gb-wc,2,37.32251521298174,184,2,198,616,fed_avg,pi4-4gb
pi4-4gb,2,34.60350154479917,168,3,197,632,fed_avg,pi4-4gb
All,2,42.45700245700246,864,6,794,2336,fed_avg,pi4-4gb
pi3-1gb,3,58.75109938434476,334,3,197,466,fed_avg,pi4-4gb
pi4-2gb-bc,3,8.363201911589009,35,2,198,765,fed_avg,pi4-4gb
pi4-2gb-wc,3,12.83547257876313,55,2,198,745,fed_avg,pi4-4gb
pi4-4gb,3,10.61320754716981,45,3,197,755,fed_avg,pi4-4gb
All,3,25.496058711606416,469,10,790,2731,fed_avg,pi4-4gb
pi3-1gb,4,35.71428571428571,175,5,195,625,fed_avg,pi4-4gb
pi4-2gb-bc,4,3.9215686274509802,16,0,200,784,fed_avg,pi4-4gb
pi4-2gb-wc,4,5.5893074119076545,23,0,200,777,fed_avg,pi4-4gb
pi4-4gb,4,4.872107186358099,20,1,199,780,fed_avg,pi4-4gb
All,4,13.604651162790699,234,6,794,2966,fed_avg,pi4-4gb
pi3-1gb,0,85.77524893314367,603,3,197,197,trimmed_mean,pi4-4gb
pi4-2gb-bc,0,85.95866001425516,603,0,200,197,trimmed_mean,pi4-4gb
pi4-2gb-wc,0,85.79545454545455,604,4,196,196,trimmed_mean,pi4-4gb
pi4-4gb,0,85.75498575498574,602,2,198,198,trimmed_mean,pi4-4gb
All,0,85.82102828678171,2412,9,791,788,trimmed_mean,pi4-4gb
pi3-1gb,1,69.48051948051949,428,4,196,372,trimmed_mean,pi4-4gb
pi4-2gb-bc,1,58.823529411764696,335,4,196,465,trimmed_mean,pi4-4gb
pi4-2gb-wc,1,60.278745644599304,346,2,198,454,trimmed_mean,pi4-4gb
pi4-4gb,1,58.62676056338029,333,3,197,467,trimmed_mean,pi4-4gb
All,1,61.95488721804511,1442,13,787,1758,trimmed_mean,pi4-4gb
pi3-1gb,2,70.00808407437347,433,4,196,367,trimmed_mean,pi4-4gb
pi4-2gb-bc,2,56.222023276633834,314,3,197,486,trimmed_mean,pi4-4gb
pi4-2gb-wc,2,56.86274509803921,319,3,197,481,trimmed_mean,pi4-4gb
pi4-4gb,2,52.75735294117647,287,1,199,513,trimmed_mean,pi4-4gb
All,2,59.29009640666082,1353,11,789,1847,trimmed_mean,pi4-4gb
pi3-1gb,3,46.25719769673704,241,1,199,559,trimmed_mean,pi4-4gb
pi4-2gb-bc,3,5.109489051094891,21,1,199,779,trimmed_mean,pi4-4gb
pi4-2gb-wc,3,6.529625151148731,27,0,200,773,trimmed_mean,pi4-4gb
pi4-4gb,3,6.053268765133172,25,1,199,775,trimmed_mean,pi4-4gb
All,3,17.85612738129087,314,3,797,2886,trimmed_mean,pi4-4gb
pi3-1gb,4,36.36363636363637,178,1,199,622,trimmed_mean,pi4-4gb
pi4-2gb-bc,4,6.0606060606060606,25,0,200,775,trimmed_mean,pi4-4gb
pi4-2gb-wc,4,5.5893074119076545,23,0,200,777,trimmed_mean,pi4-4gb
pi4-4gb,4,5.797101449275361,24,4,196,776,trimmed_mean,pi4-4gb
All,4,14.471780028943556,250,5,795,2950,trimmed_mean,pi4-4gb
pi3-1gb,0,85.89652728561305,606,5,195,194,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,0,85.97864768683276,604,1,199,196,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,0,85.9375,605,3,197,195,trimmed_mean_2,pi4-4gb
pi4-4gb,0,85.79586009992862,601,0,200,199,trimmed_mean_2,pi4-4gb
All,0,85.90222222222222,2416,9,791,784,trimmed_mean_2,pi4-4gb
pi3-1gb,1,67.38056013179572,409,5,195,391,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,1,63.559322033898304,375,5,195,425,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,1,64.70092670598146,384,3,197,416,trimmed_mean_2,pi4-4gb
pi4-4gb,1,64.01354784081286,378,3,197,422,trimmed_mean_2,pi4-4gb
All,1,64.93070138597228,1546,16,784,1654,trimmed_mean_2,pi4-4gb
pi3-1gb,2,61.259706643658326,355,4,196,445,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,2,30.834213305174234,146,1,199,654,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,2,33.60995850622406,162,2,198,638,trimmed_mean_2,pi4-4gb
pi4-4gb,2,29.692470837751856,140,3,197,660,trimmed_mean_2,pi4-4gb
All,2,40.019935210565656,803,10,790,2397,trimmed_mean_2,pi4-4gb
pi3-1gb,3,28.4796573875803,133,1,199,667,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,3,1.2422360248447204,5,0,200,795,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,3,2.2222222222222223,9,1,199,791,trimmed_mean_2,pi4-4gb
pi4-4gb,3,1.9801980198019802,8,0,200,792,trimmed_mean_2,pi4-4gb
All,3,9.234435507893954,155,2,798,3045,trimmed_mean_2,pi4-4gb
pi3-1gb,4,53.78304466727438,295,2,198,505,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,4,3.9167686658506735,16,1,199,784,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,4,5.804111245465538,24,3,197,776,trimmed_mean_2,pi4-4gb
pi4-4gb,4,4.395604395604395,18,1,199,782,trimmed_mean_2,pi4-4gb
All,4,19.831460674157302,353,7,793,2847,trimmed_mean_2,pi4-4gb
pi3-1gb,0,85.6330014224751,602,4,196,198,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,0,85.79545454545455,604,4,196,196,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,0,85.97864768683276,604,1,199,196,coordinate_wise_median,pi4-4gb
pi4-4gb,0,85.73456352022711,604,5,195,196,coordinate_wise_median,pi4-4gb
All,0,85.78535891968728,2414,14,786,786,coordinate_wise_median,pi4-4gb
pi3-1gb,1,67.54530477759472,410,4,196,390,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,1,29.39297124600639,138,1,199,662,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,1,32.075471698113205,153,1,199,647,coordinate_wise_median,pi4-4gb
pi4-4gb,1,28.111587982832614,131,1,199,669,coordinate_wise_median,pi4-4gb
All,1,41.1983164149542,832,7,793,2368,coordinate_wise_median,pi4-4gb
pi3-1gb,2,57.67524401064773,325,2,198,475,coordinate_wise_median,pi4-4gb
