device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,0,55.42168674698795,230,0,150,370,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,0,67.69570011025358,307,0,150,293,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,0,68.56516976998904,313,0,150,287,trimmed_mean_2,pi4-4gb
pi4-4gb,0,68.13186813186815,310,0,150,290,trimmed_mean_2,pi4-4gb
All,0,65.16853932584269,1160,0,600,1240,trimmed_mean_2,pi4-4gb
pi3-1gb,1,76.79671457905543,374,0,150,226,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,1,87.4296435272045,466,0,150,134,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,1,86.4406779661017,459,3,147,141,trimmed_mean_2,pi4-4gb
pi4-4gb,1,88.16402609506058,473,0,150,127,trimmed_mean_2,pi4-4gb
All,1,84.88622754491017,1772,3,597,628,trimmed_mean_2,pi4-4gb
pi3-1gb,2,66.51884700665188,300,2,148,300,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,2,84.83685220729367,442,0,150,158,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,2,84.94726749760306,443,0,150,157,trimmed_mean_2,pi4-4gb
pi4-4gb,2,84.05797101449275,435,0,150,165,trimmed_mean_2,pi4-4gb
All,2,80.55693684733964,1620,2,598,780,trimmed_mean_2,pi4-4gb
pi3-1gb,3,46.54731457800512,182,0,150,418,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,3,72.32237539766702,341,2,148,259,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,3,70.18299246501614,326,3,147,274,trimmed_mean_2,pi4-4gb
pi4-4gb,3,68.55895196506549,314,2,148,286,trimmed_mean_2,pi4-4gb
All,3,65.15406162464986,1163,7,593,1237,trimmed_mean_2,pi4-4gb
pi3-1gb,4,23.75366568914956,81,1,149,519,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,4,54.36893203883496,224,0,150,376,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,4,56.11510791366906,234,0,150,366,trimmed_mean_2,pi4-4gb
pi4-4gb,4,45.559845559845556,177,0,150,423,trimmed_mean_2,pi4-4gb
All,4,45.94161052293872,716,1,599,1684,trimmed_mean_2,pi4-4gb
pi3-1gb,0,33.333333333333336,120,0,150,480,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,0,85.0574712643678,444,0,150,156,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,0,84.16988416988418,436,0,150,164,coordinate_wise_median,pi4-4gb
pi4-4gb,0,83.38192419825073,429,0,150,171,coordinate_wise_median,pi4-4gb
All,0,74.64089840689475,1429,0,600,971,coordinate_wise_median,pi4-4gb
pi3-1gb,1,19.004524886877828,63,0,150,537,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,1,85.38681948424069,447,0,150,153,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,1,85.38681948424069,447,0,150,153,coordinate_wise_median,pi4-4gb
pi4-4gb,1,84.6153846153846,440,0,150,160,coordinate_wise_median,pi4-4gb
All,1,73.58440874374506,1397,0,600,1003,coordinate_wise_median,pi4-4gb
pi3-1gb,2,43.137254901960794,165,0,150,435,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,2,85.71428571428571,450,0,150,150,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,2,85.82302568981922,451,0,150,149,coordinate_wise_median,pi4-4gb
pi4-4gb,2,85.60533841754051,449,0,150,151,coordinate_wise_median,pi4-4gb
All,2,77.39463601532567,1515,0,600,885,coordinate_wise_median,pi4-4gb
pi3-1gb,3,1.9801980198019802,6,0,150,594,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,3,86.25592417061611,455,0,150,145,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,3,86.47114474929045,457,0,150,143,coordinate_wise_median,pi4-4gb
pi4-4gb,3,83.63988383349468,432,1,149,168,coordinate_wise_median,pi4-4gb
All,3,71.98080511863503,1350,1,599,1050,coordinate_wise_median,pi4-4gb
pi3-1gb,4,26.589595375722542,92,0,150,508,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,4,83.33333333333333,485,79,71,115,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,4,82.57510729613733,481,84,66,119,coordinate_wise_median,pi4-4gb
pi4-4gb,4,79.93138936535163,466,100,50,134,coordinate_wise_median,pi4-4gb
All,4,72.79675185096728,1524,263,337,876,coordinate_wise_median,pi4-4gb
