device,num_adversaries,f1,aggregation,injected
pi4-4gb,3,66.53771760154739,trimmed_mean_2,pi4-2gb-bc
All,3,53.54077253218884,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,4,6.451612903225806,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,4,57.19733079122974,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,4,57.14285714285715,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,4,57.91505791505791,trimmed_mean_2,pi4-2gb-bc
All,4,49.001331557922775,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,0,12.792511700468017,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,0,72.06823027718549,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,0,71.65775401069519,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,0,74.08184679958028,coordinate_wise_median,pi4-2gb-bc
All,0,61.55177386789732,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,1,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,1,79.63891675025076,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,1,79.75951903807615,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,1,79.87987987987988,coordinate_wise_median,pi4-2gb-bc
All,1,66.4440734557596,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,2,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,2,61.43187066974596,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,2,59.154929577464785,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,2,61.27167630057804,coordinate_wise_median,pi4-2gb-bc
All,2,49.198868991517436,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,3,16.232771822358348,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,3,91.88284518828452,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,3,91.39072847682121,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,3,95.62982005141387,coordinate_wise_median,pi4-2gb-bc
All,3,81.07980108927303,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,4,0.0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,4,51.75983436853002,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,4,53.441295546558706,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,4,52.971845672575604,coordinate_wise_median,pi4-2gb-bc
All,4,43.72331340734415,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,0,84.83685220729367,fed_avg,pi4-4gb
pi4-2gb-bc,0,89.196675900277,fed_avg,pi4-4gb
pi4-2gb-wc,0,90.00916590284143,fed_avg,pi4-4gb
pi4-4gb,0,89.80716253443526,fed_avg,pi4-4gb
All,0,88.50174216027874,fed_avg,pi4-4gb
pi3-1gb,1,56.11510791366906,fed_avg,pi4-4gb
